"Country_Region","country_lat","country_long","country_cases","country_deaths","country_incident_rate","country_fatality_ratio","Last_Update","Alcoholic.Beverages","Animal.fats","Animal.Products","Aquatic.Products..Other","Cereals...Excluding.Beer","Eggs","Fish..Seafood","Fruits...Excluding.Wine","Meat","Milk...Excluding.Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy.Roots","Stimulants","Sugar...Sweeteners","Sugar.Crops","Treenuts","Vegetable.Oils","Vegetables","Vegetal.Products","Obesity","Undernourished","Population"
"Sao Tome and Principe",0.1864,6.6131,5920,71,2701.21052559534,0.0119932432432432,"2022-02-15 04:21:09",1.5187,0.022,4.1199,0,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,0.424,0.0187,9.9865,0.3109,0.0293,3.7154,0.0073,2.5939,0,0.0024,0.7805,0.857,45.8801,10.6,"7",206000
"Saudi Arabia",23.885942,45.079162,730614,8974,2098.62926172493,0.0122828196557964,"2022-02-15 04:21:09",0,0.3917,12.9962,0,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,0.669,0.1547,0.1492,0.4768,0.2434,1.4542,0.205,2.8571,9e-04,0.1135,1.7626,5.7024,37.0038,35,"7.1",34218000
"Senegal",14.4974,-14.4524,85440,1957,510.274469613764,0.0229049625468165,"2022-02-15 04:21:09",0.3209,0.0353,5.3434,0,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,0.0148,0.206,0.7637,0.4712,0.0717,2.6177,0.1161,2.0941,0,0.1047,1.9325,7.8951,44.6423,7.4,"11.3",16296000
"Serbia",44.0165,21.0059,1848040,14494,21150.9870819251,0.00784290383325036,"2022-02-15 04:21:09",4.392,0.2524,16.7466,0,9.7485,0.6322,0.4148,5.9753,3.5893,11.619,0.0067,0.2389,0.1322,0.1805,0.0242,2.545,0.243,2.0255,7e-04,0.1268,0.4644,7.3941,33.2476,23.5,"5.7",6945000
"Sierra Leone",8.460555,-11.779889,7652,125,95.9259670163602,0.0163355985363304,"2022-02-15 04:21:09",0.3009,0.0067,5.6877,0,19.9349,0.1343,2.5044,3.2119,0.7837,2.1711,0.2504,0.0857,0.5999,0.8913,0.0638,12.4228,0.0762,0.6323,0,0.1,1.276,4.5526,44.3138,7.5,"25.6",7813000
"Slovakia",48.669,19.699,1870119,18105,34253.5033884084,0.00968120210532057,"2022-02-15 04:21:09",6.1266,1.3559,18.9841,0,5.4026,0.939,0.7045,3.5463,4.3096,11.4696,0.029,0.2055,0.2055,0.0973,0.0421,3.6814,0.2513,5.5166,0,0.1118,1.438,4.5601,31.0231,22.4,"3.4",5454000
"Slovenia",46.1512,14.9955,851416,6099,40954.4900939521,0.00716336080130042,"2022-02-15 04:21:09",4.9933,1.1248,18.9196,5e-04,7.6345,0.5376,0.6515,6.4367,4.161,12.2569,0.6133,0.1879,0.1285,0.1106,0.0561,2.6837,0.2615,2.4915,0,0.1972,0.4739,5.002,31.0774,22.5,"<2.5",2088000
"Solomon Islands",-9.6457,160.1562,4827,61,739.364455976644,0.0126372488087839,"2022-02-15 04:21:09",0.8298,0.1038,3.8504,0.0121,9.0233,0.0826,2.284,3.2798,0.8897,0.438,0.5585,0.0394,5.0334,0.7366,0.0364,24.25,0.0856,0.8268,0,0.0356,0.3327,1.1223,46.1492,20.5,"8.9",699000
"South Africa",-30.5595,22.9375,3642905,97250,6142.27864415822,0.0266957277227927,"2022-02-15 04:21:09",6.2658,0.0593,11.8433,9e-04,17.1035,0.594,0.5365,1.9355,5.3933,4.8155,9e-04,0.4448,0.2462,0.1546,0.0539,2.8503,0.1321,4.4677,0,0.0108,1.1726,3.7632,38.1554,27,"6.2",58616000
"Spain",39.7636925263158,-3.68276589473684,10672906,96596,23345.7398556912,0.00905058097579047,"2022-02-15 04:21:09",5.3152,0.2357,18.3382,0.0011,6.0548,0.7321,2.2646,4.8332,5.3456,9.5991,0,0.1605,0.265,0.2666,0.0069,3.0975,0.2229,1.8482,0,0.4287,1.5122,7.8139,31.6581,27.1,"<2.5",47073000
